Sno,Date,Headline,Covid,Sentiment,Description,Image,Source,Text
21,2020-04-30,Man stabbed to death by 4 in Delhi over high price of chicken: Police,0,0,"A 35-year-old, Shiraz, was stabbed to death allegedly by four people in Delhi's Jahangirpuri area after an argument over the price of chicken. An argument broke between the accused, Shah Alam and his three brothers, and Shiraz when he quoted the price of the chicken he was selling. The accused allegedly attacked Shiraz with knife and iron rods, police said.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588223947687_257.jpg,https://www.timesnownews.com/mirror-now/crime/article/man-stabbed-to-death-over-high-price-of-chicken-in-north-west-delhi/584958?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Man stabbed to death by 4 in Delhi over high price of chicken: Police A 35-year-old, Shiraz, was stabbed to death allegedly by four people in Delhi's Jahangirpuri area after an argument over the price of chicken. An argument broke between the accused, Shah Alam and his three brothers, and Shiraz when he quoted the price of the chicken he was selling. The accused allegedly attacked Shiraz with knife and iron rods, police said."
22,2020-04-30,"3 on COVID-19 duty held for killing, burning rat snake in Chennai",1,0,"Three temporary staff members of the Chennai corporation, who were involved in carrying out a COVID-19 census in Villivakkam, were detained by forest department officials on Wednesday for allegedly killing and burning a non-venomous rat snake. The snake had entered a house and the had residents sought the help of the three men who beat the snake to death.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588228570864_354.jpg,https://www.newindianexpress.com/states/tamil-nadu/2020/apr/29/three-chennai-corporation-staff-on-covid-19-duty-held-for-killing-and-burning-rat-snake-2136935.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"3 on COVID-19 duty held for killing, burning rat snake in Chennai Three temporary staff members of the Chennai corporation, who were involved in carrying out a COVID-19 census in Villivakkam, were detained by forest department officials on Wednesday for allegedly killing and burning a non-venomous rat snake. The snake had entered a house and the had residents sought the help of the three men who beat the snake to death."
23,2020-04-30,IIT Jammu develops face-shield for police on trial basis,1,1,"IIT Jammu has developed a face-shield that will be handed over to the police for trial amid the COVID-19 pandemic. Stating that 3D printers were used for the production of prototypes, IIT Jammu Director Dr MS Gaur said, ""This design can also be produced on a mass scale."" Earlier, IIT Delhi's COVID-19 testing method was approved by the ICMR. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588217039077_643.jpg,https://twitter.com/ANI/status/1255611107038781441?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"IIT Jammu develops face-shield for police on trial basis IIT Jammu has developed a face-shield that will be handed over to the police for trial amid the COVID-19 pandemic. Stating that 3D printers were used for the production of prototypes, IIT Jammu Director Dr MS Gaur said, ""This design can also be produced on a mass scale."" Earlier, IIT Delhi's COVID-19 testing method was approved by the ICMR. "
24,2020-04-29,"81 coronavirus patients recover in Gautam Buddha Nagar, active cases now 56",1,1,"Gautam Buddha Nagar District Magistrate Suhas LY has tweeted that 91 coronavirus results came out in the district today, out of which 88 tested negative, while three tested positive. The total number of cured patients has risen to 81, he added, while the total number of active cases is 56. ""Fight goes on with extreme caution,"" he added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588160479306_143.jpg,https://twitter.com/dmgbnagar/status/1255458660127563776?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"81 coronavirus patients recover in Gautam Buddha Nagar, active cases now 56 Gautam Buddha Nagar District Magistrate Suhas LY has tweeted that 91 coronavirus results came out in the district today, out of which 88 tested negative, while three tested positive. The total number of cured patients has risen to 81, he added, while the total number of active cases is 56. ""Fight goes on with extreme caution,"" he added."
25,2020-04-29,"Colleges to reopen for old students from Aug 1, for new students from Sept 1: UGC",1,1,"The UGC today said that the 2020-21 academic session will commence for old students from August 1, while it will commence from September 1 for new students. It added that states where coronavirus situation has normalised, the pending exams will be held in July. It further said extension of six months will be granted to MPhil and PhD students.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588173226338_446.jpg,https://twitter.com/TimesNow/status/1255507208097484804?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Colleges to reopen for old students from Aug 1, for new students from Sept 1: UGC The UGC today said that the 2020-21 academic session will commence for old students from August 1, while it will commence from September 1 for new students. It added that states where coronavirus situation has normalised, the pending exams will be held in July. It further said extension of six months will be granted to MPhil and PhD students."
26,2020-04-29,"Govt allows inter-state movement of stranded migrant workers, students",1,1,"The government on Wednesday allowed inter-state movement of migrant workers, pilgrims, tourists, students and other persons stranded at different places amid the lockdown. The sending and receiving states must mutually agree to the movement of group of stranded persons by road, the order stated. Further, the persons will be screened and those found asymptomatic would be allowed to proceed.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588163665615_884.jpg,https://twitter.com/ANI/status/1255469467083124738?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Govt allows inter-state movement of stranded migrant workers, students The government on Wednesday allowed inter-state movement of migrant workers, pilgrims, tourists, students and other persons stranded at different places amid the lockdown. The sending and receiving states must mutually agree to the movement of group of stranded persons by road, the order stated. Further, the persons will be screened and those found asymptomatic would be allowed to proceed."
27,2020-04-29,"Several districts to get considerable relaxations from May 4, guidelines soon: Govt",1,1,"The government on Wednesday said that many districts will get considerable relaxations from May 4, adding that new guidelines will be communicated in the days to come. ""There have been tremendous gains and improvement in the situation due to lockdown till now,"" the Ministry of Home Affairs added. It further said current guidelines should be strictly observed till May 3.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588175610755_312.jpg,https://twitter.com/PIBHomeAffairs/status/1255518759969861632?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Several districts to get considerable relaxations from May 4, guidelines soon: Govt The government on Wednesday said that many districts will get considerable relaxations from May 4, adding that new guidelines will be communicated in the days to come. ""There have been tremendous gains and improvement in the situation due to lockdown till now,"" the Ministry of Home Affairs added. It further said current guidelines should be strictly observed till May 3."
28,2020-04-29,"Coronavirus cases rise to 2,162 in Tamil Nadu; 1,210 patients discharged",1,0,"Tamil Nadu on Wednesday reported 104 new coronavirus cases, taking the total number of cases in the state to 2,162. As many as 1,210 patients have been cured and discharged in Tamil Nadu till today, while 27 people have lost their lives to COVID-19. There are 922 active cases in the state.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588174941395_260.jpg,https://twitter.com/pibchennai/status/1255492468340068355?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Coronavirus cases rise to 2,162 in Tamil Nadu; 1,210 patients discharged Tamil Nadu on Wednesday reported 104 new coronavirus cases, taking the total number of cases in the state to 2,162. As many as 1,210 patients have been cured and discharged in Tamil Nadu till today, while 27 people have lost their lives to COVID-19. There are 922 active cases in the state."
29,2020-04-29,Maharashtra reports 32 coronavirus deaths and 597 new cases today,1,0,"As many as 32 deaths due to coronavirus and 597 confirmed cases of the virus were reported in Maharashtra today. The total number of cases in the worst-hit state has risen to 9,915, while the death toll has surged to 432. As many as 1,593 coronavirus patients have recovered in the state so far.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588178170024_529.jpg,https://twitter.com/ANI/status/1255518217725857792?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Maharashtra reports 32 coronavirus deaths and 597 new cases today As many as 32 deaths due to coronavirus and 597 confirmed cases of the virus were reported in Maharashtra today. The total number of cases in the worst-hit state has risen to 9,915, while the death toll has surged to 432. As many as 1,593 coronavirus patients have recovered in the state so far."
30,2020-04-29,Uttar Pradesh reports 81 new coronavirus cases; total 510 patients recover,1,0,"Uttar Pradesh reported 81 new coronavirus cases on Wednesday, taking the total number of cases in the state to 2,134, as per figures provided by the state government. The total number of patients who've recovered and have been discharged from hospital rose to 510 after 47 recoveries were reported today. The death toll in UP from coronavirus stands at 39.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588178904187_907.jpg,https://twitter.com/ANINewsUP/status/1255510619874304002?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Uttar Pradesh reports 81 new coronavirus cases; total 510 patients recover Uttar Pradesh reported 81 new coronavirus cases on Wednesday, taking the total number of cases in the state to 2,134, as per figures provided by the state government. The total number of patients who've recovered and have been discharged from hospital rose to 510 after 47 recoveries were reported today. The death toll in UP from coronavirus stands at 39."
